book_id,books_count,authors,original_publication_year,title,average_rating,ratings_count
370,76,Rick Riordan,2010.0,"The Red Pyramid (Kane Chronicles, #1)",4.06,232791
376,88,James Dashner,2011.0,"The Death Cure (Maze Runner, #3)",3.77,223674
382,86,"John Green, David Levithan",2010.0,"Will Grayson, Will Grayson",3.84,236431
384,93,Richelle Mead,2008.0,"Frostbite (Vampire Academy, #2)",4.3,256745
386,127,Scott O'Dell,1960.0,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",3.8,236015
388,93,Gary Paulsen,1986.0,"Hatchet (Brian's Saga, #1)",3.68,222553
393,73,Sarah J. Maas,2012.0,"Throne of Glass (Throne of Glass, #1)",4.24,274987
394,88,Richelle Mead,2008.0,"Shadow Kiss (Vampire Academy, #3)",4.37,266742
399,131,J.K. Rowling,2007.0,The Tales of Beedle the Bard,4.06,284833
415,78,Alyson Noel,2009.0,"Evermore (The Immortals, #1)",3.59,230031
418,71,Richelle Mead,2010.0,"Spirit Bound (Vampire Academy, #5)",4.37,224247
419,76,Richelle Mead,2009.0,"Blood Promise (Vampire Academy, #4)",4.35,231853
422,76,J.K. Rowling,1998.0,"Harry Potter Boxset (Harry Potter, #1-7)",4.74,190050
423,84,Kiera Cass,2013.0,"The Elite (The Selection, #2)",4.02,234247
425,92,"Beatrice Sparks, Anonymous",1971.0,Go Ask Alice,3.77,196677
428,65,Rick Riordan,2012.0,"The Mark of Athena (The Heroes of Olympus, #3)",4.47,277491
434,73,Becca Fitzpatrick,2010.0,"Crescendo (Hush, Hush, #2)",4.07,226237
435,82,Lauren Oliver,2010.0,Before I Fall,3.92,220160
443,61,Sarah Dessen,2006.0,Just Listen,4.06,202180
447,143,Christopher Paolini,2008.0,"Brisingr (The Inheritance Cycle, #3)",4.03,211645
449,80,"P.C. Cast, Kristin Cast",2007.0,"Betrayed (House of Night, #2)",3.93,205340
452,102,Rick Yancey,2013.0,"The 5th Wave (The 5th Wave, #1)",4.1,260048
460,79,Cassandra Clare,2013.0,"Clockwork Princess (The Infernal Devices, #3)",4.59,162099
475,8,Gayle Forman,2011.0,"Where She Went (If I Stay, #2)",4.06,193141
480,42,Philip Pullman,2000.0,"The Amber Spyglass (His Dark Materials, #3)",4.06,192315
486,69,Jeanne DuPrau,2003.0,"The City of Ember (Book of Ember, #1)",3.85,198809
491,67,"P.C. Cast, Kristin Cast",2008.0,"Untamed (House of Night, #4)",3.95,191743
500,125,Meg Cabot,2000.0,"The Princess Diaries (The Princess Diaries, #1)",3.76,193140
506,94,Kiera Cass,2014.0,"The One (The Selection, #3)",4.21,139544
507,78,Suzanne Collins,2010.0,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",4.49,129665
517,52,Simone Elkeles,2008.0,"Perfect Chemistry (Perfect Chemistry, #1)",4.07,198627
519,78,Scott Westerfeld,2005.0,"Pretties (Uglies, #2)",3.85,193405
525,76,Lauren Oliver,2012.0,"Pandemonium (Delirium, #2)",4.07,181656
535,89,Laini Taylor,2011.0,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",4.04,198283
536,84,Victoria Aveyard,2015.0,"Red Queen (Red Queen, #1)",4.08,83354
541,45,Sarah Dessen,2004.0,The Truth About Forever,4.13,179415
542,280,C.S. Lewis,1954.0,"The Horse and His Boy (Chronicles of Narnia, #5)",3.9,189671
543,63,Richelle Mead,2010.0,"Last Sacrifice (Vampire Academy, #6)",4.42,206792
548,75,Sara Shepard,2006.0,"Pretty Little Liars (Pretty Little Liars, #1)",3.9,156328
561,82,"Norton Juster, Jules Feiffer",1961.0,The Phantom Tollbooth,4.22,178432
564,32,Ned Vizzini,2006.0,It's Kind of a Funny Story,4.14,161001
569,96,James Patterson,2005.0,"The Angel Experiment (Maximum Ride, #1)",4.08,172302
577,127,Natalie Babbitt,1975.0,Tuck Everlasting,3.85,174280
583,65,Becca Fitzpatrick,2011.0,"Silence (Hush, Hush, #3)",4.16,190722
586,65,Libba Bray,2003.0,"A Great and Terrible Beauty (Gemma Doyle, #1)",3.79,173613
591,67,"Sherman Alexie, Ellen Forney",2007.0,The Absolutely True Diary of a Part-Time Indian,4.11,160607
593,157,Ursula K. Le Guin,1968.0,"A Wizard of Earthsea (Earthsea Cycle, #1)",3.99,155042
595,82,John Knowles,1959.0,A Separate Peace,3.56,155901
600,82,Lauren Kate,2010.0,"Torment (Fallen, #2)",3.89,174393
602,257,"C.S. Lewis, Pauline Baynes",1953.0,"The Silver Chair (Chronicles of Narnia, #4)",3.95,170453
607,7,Cassandra Clare,2014.0,"City of Heavenly Fire (The Mortal Instruments, #6)",4.48,177796
615,42,Sarah Dessen,2002.0,This Lullaby,4.03,151829
621,75,Judy Blume,1970.0,"Are You There God? It's Me, Margaret",3.89,151789
632,77,Tahereh Mafi,2011.0,"Shatter Me (Shatter Me, #1)",4.01,176433
636,14,Mark Cotta Vaz,2011.0,"The Twilight Saga Breaking Dawn Part 1: The Official Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #4)",4.3,188136
641,245,C.S. Lewis,1956.0,"The Last Battle (Chronicles of Narnia, #7)",4.02,158701
643,77,"P.C. Cast, Kristin Cast",2008.0,"Chosen (House of Night, #3)",3.9,180961
645,74,Alex Flinn,2007.0,"Beastly (Beastly, #1; Kendra Chronicles, #1)",3.84,150003
648,119,Christopher Paolini,2011.0,"Inheritance (The Inheritance Cycle, #4)",4.08,146905
655,63,Ally Condie,2011.0,"Crossed (Matched, #2)",3.52,100886
656,58,Ally Carter,2006.0,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",3.82,150222
667,41,Sarah Dessen,2009.0,Along for the Ride,4.08,151721
684,63,Rick Riordan,2013.0,"The House of Hades (The Heroes of Olympus, #4)",4.54,159774
685,61,Michael  Grant,2008.0,"Gone (Gone, #1)",3.85,144606
707,65,Sharon Creech,1994.0,Walk Two Moons,3.95,129350
711,62,Neal Shusterman,2007.0,"Unwind (Unwind, #1)",4.18,143892
717,11,Kate Egan,2012.0,The Hunger Games: Official Illustrated Movie Companion,4.51,119915
732,93,Stephenie Meyer,2009.0,"The Short Second Life of Bree Tanner: An Eclipse Novella (Twilight, #3.5)",3.51,145874
740,14,"Laura Ingalls Wilder, Garth Williams",1953.0,"The Little House Collection (Little House, #1-9)",4.33,124320
747,99,Garth Nix,1995.0,"Sabriel (Abhorsen,  #1)",4.17,137047
756,58,Julie Kagawa,2010.0,"The Iron King (The Iron Fey, #1)",3.92,158063
759,37,Richelle Mead,2011.0,"Bloodlines (Bloodlines, #1)",4.22,140599
774,51,Marissa Meyer,2014.0,"Cress (The Lunar Chronicles, #3)",4.46,162069
781,66,Scott Westerfeld,2006.0,"Specials (Uglies, #3)",3.77,139168
783,63,"P.C. Cast, Kristin Cast",2009.0,"Hunted (House of Night, #5)",3.93,138103
793,83,E.L. Konigsburg,1967.0,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,4.15,134537
805,61,"P.C. Cast, Kristin Cast",2010.0,"Burned (House of Night, #7)",3.98,120763
808,73,Brian Selznick,2007.0,The Invention of Hugo Cabret,4.23,132159
814,62,"P.C. Cast, Kristin Cast",2008.0,"Tempted (House of Night, #6)",3.96,127387
817,75,Diana Wynne Jones,1986.0,"Howl's Moving Castle (Howl's Moving Castle, #1)",4.3,123945
827,60,Jenny Han,2014.0,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",4.11,136938
830,53,Kody Keplinger,2010.0,The DUFF: Designated Ugly Fat Friend,3.86,136736
831,38,Sarah Dessen,2008.0,Lock and Key,4.01,120475
834,1,Stephenie Meyer,2008.0,"Midnight Sun (Twilight, #1.5)",4.03,138118
837,66,David Levithan,2012.0,"Every Day (Every Day, #1)",3.99,121863
849,67,Louise Rennison,1999.0,"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",3.74,112733
853,49,Jerry Spinelli,1990.0,Maniac Magee,3.86,99831
856,73,Lois Lowry,2000.0,"Gathering Blue (The Giver, #2)",3.8,114917
857,38,Ellen Raskin,1978.0,The Westing Game,4.03,117108
875,62,Melissa Marr,2007.0,"Wicked Lovely (Wicked Lovely, #1)",3.69,131034
880,52,Kelley Armstrong,2008.0,"The Summoning (Darkest Powers, #1)",4.03,132285
884,29,Ransom Riggs,2014.0,"Hollow City (Miss Peregrine’s Peculiar Children, #2)",4.07,73149
909,66,Rick Riordan,2011.0,"The Throne of Fire (Kane Chronicles, #2)",4.2,116360
918,121,Eoin Colfer,2002.0,"The Arctic Incident (Artemis Fowl, #2)",3.94,108031
921,74,"Jennifer Niven, فرانک معنوی",2015.0,All the Bright Places,4.19,132087
923,85,Michael Scott,2007.0,"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",3.84,58396
927,22,Ellen Hopkins,2004.0,"Crank (Crank, #1)",4.16,104168
928,64,Maggie Stiefvater,2012.0,"The Raven Boys (The Raven Cycle, #1)",4.05,121727
933,70,Kristin Cashore,2009.0,"Fire (Graceling Realm, #2)",4.12,98180
937,81,Philip Pullman,2000.0,His Dark Materials (His Dark Materials #1-3),4.25,88227
945,66,Lauren Kate,2011.0,"Passion (Fallen, #3)",3.89,119735
946,66,James Dashner,2012.0,"The Kill Order (Maze Runner, #0.5)",3.69,96568
950,71,Jandy Nelson,2014.0,I'll Give You the Sun,4.14,140937
957,76,Maggie Stiefvater,2010.0,"Linger (The Wolves of Mercy Falls, #2)",3.91,125363
958,40,L.M. Montgomery,1908.0,"The Complete Anne of Green Gables Boxed Set (Anne of Green Gables, #1-8)",4.42,92142
970,64,Brandon Sanderson,2013.0,"Steelheart (The Reckoners, #1)",4.16,76261
981,47,Melissa de la Cruz,2006.0,"Blue Bloods (Blue Bloods, #1)",3.68,116687
987,138,"Patrick Ness, Jim Kay, Siobhan Dowd",2011.0,A Monster Calls,4.36,104579
992,36,"Stephenie Meyer, Ilyana Kadushin, Matt Walters",2005.0,"The Twilight Saga (Twilight, #1-4)",3.88,89204
993,49,Carol Rifka Brunt,2012.0,Tell the Wolves I'm Home,4.04,85582
995,42,Michelle Hodkin,2011.0,"The Unbecoming of Mara Dyer (Mara Dyer, #1)",4.09,83847
1000,66,Leigh Bardugo,2012.0,"Shadow and Bone (Shadow and Bone, #1)",4.05,135225
1002,57,Marie Lu,2013.0,"Champion (Legend, #3)",4.37,114623
1004,22,Stephanie Perkins,2011.0,"Lola and the Boy Next Door (Anna and the French Kiss, #2)",4.0,108370
1008,71,Pittacus Lore,2011.0,"The Power of Six (Lorien Legacies, #2)",4.17,97938
1032,51,Brandon Mull,2006.0,"Fablehaven (Fablehaven, #1)",4.08,99390
1038,78,Mildred D. Taylor,1976.0,"Roll of Thunder, Hear My Cry (Logans, #4)",3.79,92980
1045,83,Veronica Roth,2014.0,"Four: A Divergent Story Collection (Divergent, #0.1 - 0.4)",4.1,97058
1050,83,Patrick Ness,2008.0,"The Knife of Never Letting Go (Chaos Walking, #1)",3.96,99638
1054,51,Ally Condie,2012.0,"Reached (Matched, #3)",3.56,109290
1059,29,Margaret Peterson Haddix,1998.0,"Among the Hidden (Shadow Children, #1)",3.97,94478
1061,60,Elizabeth George Speare,1958.0,The Witch of Blackbird Pond,3.97,105770
1066,50,Jenny Han,2009.0,"The Summer I Turned Pretty (Summer, #1)",3.96,104730
1080,33,Huntley Fitzpatrick,2012.0,My Life Next Door,4.02,102012
1087,79,Markus Zusak,2002.0,I Am the Messenger,4.09,93119
1093,61,"P.C. Cast, Kristin Cast",2011.0,"Awakened (House of Night, #8)",4.02,101234
1095,32,Susan Beth Pfeffer,2006.0,"Life As We Knew It (Last Survivors, #1)",3.89,94282
1112,5,L.M. Montgomery,1915.0,"Anne of the Island (Anne of Green Gables, #3)",4.21,97049
1118,73,Lauren Oliver,2013.0,"Requiem (Delirium, #3)",3.74,100593
1137,119,Eoin Colfer,2003.0,"The Eternity Code (Artemis Fowl, #3)",4.04,94437
1140,53,Rachel Hawkins,2010.0,"Hex Hall (Hex Hall, #1)",3.96,109881
1147,76,"Kami Garcia, Margaret Stohl",2010.0,"Beautiful Darkness (Caster Chronicles, #2)",3.84,95447
1155,99,Jonathan Stroud,2003.0,"The Amulet of Samarkand (Bartimaeus, #1)",3.99,86062
1163,83,"Lemony Snicket, Brett Helquist",2000.0,"The Miserable Mill (A Series of Unfortunate Events, #4)",3.83,101325
1172,100,Eoin Colfer,2005.0,"The Opal Deception  (Artemis Fowl, #4)",4.04,95638
1175,34,Shannon Hale,2003.0,"The Goose Girl (The Books of Bayern, #1)",4.18,92952
1177,73,Isaac Marion,2010.0,"Warm Bodies (Warm Bodies, #1)",3.93,66381
1192,89,Ruta Sepetys,2011.0,Between Shades of Gray,4.36,87718
1196,66,Madeleine L'Engle,1973.0,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",4.07,87277
1197,10,Veronica Roth,2012.0,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",4.18,81621
1203,41,Benjamin Alire Sáenz,2012.0,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",4.34,108884
1210,203,L.M. Montgomery,1909.0,"Anne of Avonlea (Anne of Green Gables, #2)",4.21,99918
1215,40,Sarah Dessen,1998.0,Someone Like You,3.94,84358
1227,44,Kelley Armstrong,2009.0,"The Awakening (Darkest Powers, #2)",4.16,95026
1233,62,"Lemony Snicket, Brett Helquist",2001.0,"The Vile Village (A Series of Unfortunate Events, #7)",3.94,89733
1243,89,John Flanagan,2004.0,"The Ruins of Gorlan (Ranger's Apprentice, #1)",4.2,83085
1244,56,Laurie Halse Anderson,2009.0,Wintergirls,3.98,87665
1251,39,Kelley Armstrong,2010.0,"The Reckoning (Darkest Powers, #3)",4.21,92922
1255,67,Sandra Cisneros,1984.0,The House on Mango Street,3.57,81579
1259,66,Garth Nix,2003.0,"Abhorsen (Abhorsen, #3)",4.29,80740
1276,41,Cynthia Hand,2011.0,"Unearthly (Unearthly, #1)",4.06,99942
1279,59,Carl Hiaasen,2002.0,Hoot,3.81,75275
1284,48,Jenny Han,2010.0,"It's Not Summer Without You (Summer, #2)",4.14,80367
1286,103,"Kennilworthy Whisp, J.K. Rowling",2001.0,Quidditch Through the Ages,3.85,90908
1289,66,"Lemony Snicket, Brett Helquist",2001.0,"The Ersatz Elevator (A Series of Unfortunate Events, #6)",4.01,90071
1290,56,Lois Lowry,2004.0,"Messenger (The Giver, #3)",3.9,79746
1293,44,"Trenton Lee Stewart, Carson Ellis",2007.0,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",4.14,87335
1297,59,Jennifer E. Smith,2012.0,The Statistical Probability of Love at First Sight,3.8,89356
1298,80,Jonathan Stroud,2004.0,"The Golem's Eye (Bartimaeus, #2)",4.09,69058
1302,56,Beth Revis,2011.0,"Across the Universe (Across the Universe, #1)",3.78,94176
1305,56,"Gertrude Chandler Warner, L. Kate Deal",1942.0,"The Boxcar Children (The Boxcar Children, #1)",4.09,92916
1323,98,Angie Sage,2005.0,"Magyk (Septimus Heap, #1)",3.8,86805
1324,27,Laurie Halse Anderson,2000.0,Fever 1793,3.89,81945
1350,69,Garth Nix,2001.0,"Lirael (Abhorsen, #2)",4.29,78903
1351,72,James Patterson,2006.0,"School's Out—Forever (Maximum Ride, #2)",4.16,90157
1353,40,Marissa Meyer,2015.0,"Winter (The Lunar Chronicles, #4)",4.49,100464
1359,60,Rick Riordan,2012.0,"The Serpent's Shadow (Kane Chronicles, #3)",4.28,82757
1366,68,Rick Yancey,2014.0,"The Infinite Sea (The 5th Wave, #2)",3.94,78314
1369,51,Christopher Paul Curtis,1999.0,"Bud, Not Buddy",3.89,73000
1375,75,Jesse Andrews,2012.0,Me and Earl and the Dying Girl,3.58,82270
1387,37,"L.J. Smith, Kevin Williamson, Julie Plec",2010.0,"Origins (The Vampire Diaries: Stefan's Diaries, #1)",4.1,59715
1391,82,"Cornelia Funke, Anthea Bell",2005.0,"Inkspell (Inkworld, #2)",3.91,82291
1397,79,Eoin Colfer,2006.0,"The Lost Colony (Artemis Fowl, #5)",4.01,103844
1398,52,Scott Westerfeld,2006.0,"Extras (Uglies, #4)",3.59,85873
1399,73,John Flanagan,2005.0,"The Burning Bridge (Ranger's Apprentice, #2)",4.28,74156
1413,57,Veronica Rossi,2011.0,"Under the Never Sky (Under the Never Sky, #1)",4.01,74029
1416,35,Richelle Mead,2012.0,"The Golden Lily (Bloodlines, #2)",4.36,86929
1425,60,"Kami Garcia, Margaret Stohl, Paz Pruneda",2011.0,"Beautiful Chaos (Caster Chronicles, #3)",3.95,69709
1431,86,Brian Jacques,1986.0,"Redwall (Redwall, #1)",4.11,73918
1437,44,Julie Kagawa,2010.0,The Iron Daughter,4.13,93340
1439,87,Karen Thompson Walker,2012.0,The Age of Miracles,3.64,61296
1445,45,Wendelin Van Draanen,2001.0,Flipped,3.94,79264
1452,50,Shannon Hale,2005.0,"Princess Academy (Princess Academy, #1)",4.01,82470
1453,86,"Nicola Yoon, David Yoon",2015.0,"Everything, Everything",4.11,132552
1456,31,Brandon Mull,2008.0,"Grip of the Shadow Plague (Fablehaven, #3)",4.26,65638
1465,79,Chaim Potok,1967.0,The Chosen,4.03,70701
1472,71,Sabaa Tahir,2015.0,"An Ember in the Ashes (An Ember in the Ashes, #1)",4.32,45492
1476,50,"Lemony Snicket, Brett Helquist",2003.0,"The Slippery Slope (A Series of Unfortunate Events, #10)",4.0,81362
1480,14,Tamora Pierce,1983.0,"Alanna: The First Adventure (Song of the Lioness, #1)",4.27,85699
1502,66,Laini Taylor,2012.0,"Days of Blood & Starlight (Daughter of Smoke & Bone, #2)",4.21,85746
1504,61,John Flanagan,2006.0,"The Battle for Skandia (Ranger's Apprentice, #4)",4.32,60959
1505,41,Alexandra Bracken,2012.0,"The Darkest Minds (The Darkest Minds, #1)",4.26,83886
1523,44,Lauren DeStefano,2011.0,"Wither (The Chemical Garden, #1)",3.81,84776
1531,75,Suzanne Collins,2003.0,"Gregor the Overlander (Underland Chronicles, #1)",3.99,66823
1535,73,James Patterson,2006.0,"Saving the World and Other Extreme Sports (Maximum Ride, #3)",4.16,75436
1540,39,Melissa de la Cruz,2007.0,"Masquerade (Blue Bloods, #2)",3.91,76598
1541,35,Julie Kagawa,2011.0,"The Iron Queen (The Iron Fey, #3)",4.24,82373
1549,56,"Lemony Snicket, Brett Helquist",2002.0,"The Carnivorous Carnival (A Series of Unfortunate Events, #9)",3.97,83981
1550,42,Ally Carter,2010.0,"Heist Society (Heist Society, #1)",3.91,75834
1554,70,Jonathan Stroud,2006.0,"Ptolemy's Gate (Bartimaeus, #3)",4.24,63838
1558,41,Sharon M. Draper,2010.0,Out of My Mind,4.37,63756
1559,59,Lauren Kate,2012.0,"Rapture (Fallen, #4)",4.03,79360
1560,68,Amanda Hocking,2010.0,"Switched (Trylle, #1)",3.89,45319
1575,77,"John Green, Maureen Johnson, Lauren Myracle",2008.0,Let It Snow: Three Holiday Romances,3.84,57632
1583,34,"Rachel Cohn, David Levithan",2006.0,Nick & Norah's Infinite Playlist,3.73,60372
1585,76,Maggie Stiefvater,2011.0,"Forever (The Wolves of Mercy Falls, #3)",3.91,85034
1591,110,Ursula K. Le Guin,1972.0,"The Farthest Shore (Earthsea Cycle, #3)",4.11,65626
1604,13,Ellen Hopkins,2007.0,"Impulse (Impulse, #1)",4.29,59804
1608,39,Kiersten White,2010.0,"Paranormalcy (Paranormalcy, #1)",3.91,79959
1611,47,Brandon Mull,2006.0,"Rise of the Evening Star (Fablehaven, #2)",4.16,79266
1614,39,Jenny Han,2011.0,"We'll Always Have Summer (Summer, #3)",4.17,68112
1616,113,Anthony Horowitz,2000.0,"Stormbreaker (Alex Rider, #1)",3.97,67602
1619,11,Stephenie Meyer,2005.0,"The Twilight Saga Complete Collection  (Twilight, #1-4 + 3.5)",4.31,56827
1626,12,Brandon Mull,2009.0,"Secrets of the Dragon Sanctuary (Fablehaven, #4)",4.35,60744
